name,actions,inputRequired,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,requirements,trigger,toggle,hideChoices,charges,cost,frequency,cooldown,cooldownAfterEnd,maxDuration,durationDependsOnTarget,target,cannotTargetCaster,showonSkill,desc,specialdesc,critsuccess,success,failure,critfailure,targetNumbers/0/number,gainConditions/0/activationPrerequisite,gainConditions/0/addValue,gainConditions/0/choice,gainConditions/0/choiceBySubType,gainConditions/0/choiceLocked,gainConditions/0/duration,gainConditions/0/hideChoices,gainConditions/0/name,gainConditions/0/source,gainConditions/0/targetFilter,gainConditions/0/value,gainConditions/1/activationPrerequisite,gainConditions/1/choice,gainConditions/1/choiceLocked,gainConditions/1/choiceBySubType,gainConditions/1/copyChoiceFrom,gainConditions/1/duration,gainConditions/1/name,gainConditions/1/source,gainConditions/1/targetFilter,gainConditions/1/value,gainConditions/2/activationPrerequisite,gainConditions/2/choice,gainConditions/2/choiceLocked,gainConditions/2/duration,gainConditions/2/name,gainConditions/2/source,gainConditions/2/targetFilter,onceEffects/0/affected,onceEffects/0/value,castSpells/0/_className,castSpells/0/level,castSpells/0/name,castSpells/1/_className,castSpells/1/level,castSpells/1/name,showActivities/0,showSpells/0/level,showSpells/0/name,heightenedDescs/0/level,heightenedDescs/0/descs/0/value,heightenedDescs/0/descs/0/variable,heightenedDescs/0/descs/1/value,heightenedDescs/0/descs/1/variable,heightenedDescs/1/level,heightenedDescs/1/descs/0/value,heightenedDescs/1/descs/0/variable,heightenedDescs/1/descs/1/value,heightenedDescs/1/descs/1/variable,heightenedDescs/2/level,heightenedDescs/2/descs/0/value,heightenedDescs/2/descs/0/variable,heightenedDescs/2/descs/1/value,heightenedDescs/2/descs/1/variable,heightenedDescs/3/level,heightenedDescs/3/descs/0/value,heightenedDescs/3/descs/0/variable,heightenedDescs/3/descs/1/value,heightenedDescs/3/descs/1/variable,heightenedDescs/4/level,heightenedDescs/4/descs/0/value,heightenedDescs/4/descs/0/variable,heightenedDescs/4/descs/1/value,heightenedDescs/4/descs/1/variable,heightenedDescs/5/level,heightenedDescs/5/descs/0/value,heightenedDescs/5/descs/0/variable,heightenedDescs/5/descs/1/value,heightenedDescs/5/descs/1/variable,heightenedDescs/6/level,heightenedDescs/6/descs/0/value,heightenedDescs/6/descs/0/variable,heightenedDescs/6/descs/1/value,heightenedDescs/6/descs/1/variable,heightenedDescs/7/level,heightenedDescs/7/descs/0/value,heightenedDescs/7/descs/0/variable,heightenedDescs/7/descs/1/value,heightenedDescs/7/descs/1/variable,heightenedDescs/8/level,heightenedDescs/8/descs/0/value,heightenedDescs/8/descs/0/variable,heightenedDescs/8/descs/1/value,heightenedDescs/8/descs/1/variable,heightenedDescs/9/level,heightenedDescs/9/descs/0/value,heightenedDescs/9/descs/0/variable,heightenedDescs/9/descs/1/value,heightenedDescs/9/descs/1/variable,heightenedDescs/10/level,heightenedDescs/10/Descs/10/value,heightenedDescs/10/Descs/10/variable,heightenedDescs/10/Descs/1/value,heightenedDescs/10/Descs/1/variable,heightenedDescs/11/level,heightenedDescs/11/Descs/10/value,heightenedDescs/11/Descs/10/variable,heightenedDescs/11/Descs/1/value,heightenedDescs/11/Descs/1/variable,heightenedDescs/12/level,heightenedDescs/12/Descs/10/value,heightenedDescs/12/Descs/10/variable,heightenedDescs/12/Descs/1/value,heightenedDescs/12/Descs/1/variable,heightenedDescs/13/level,heightenedDescs/13/Descs/10/value,heightenedDescs/13/Descs/10/variable,heightenedDescs/13/Descs/1/value,heightenedDescs/13/Descs/1/variable,heightenedDescs/14/level,heightenedDescs/14/Descs/10/value,heightenedDescs/14/Descs/10/variable,heightenedDescs/14/Descs/1/value,heightenedDescs/14/Descs/1/variable
Copper Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Acid,Consumable,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of acid. The breath does |dice=4d6 Acid| 4d6 acid damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Electricity,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of electricity. The breath does |dice=4d6 Electricity| 4d6 electricity damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Electricity,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of electricity. The breath does |dice=4d6 Electricity| 4d6 electricity damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of fire. The breath does |dice=4d6 Fire| 4d6 fire damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Evocation,Magical,Poison,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of poison. The breath does |dice=4d6 Poison| 4d6 poison damage, and each creature in the area must attempt a DC 23 basic Fortitude save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of fire. The breath does |dice=4d6 Fire| 4d6 fire damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of fire. The breath does |dice=4d6 Fire| 4d6 fire damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of cold. The breath does |dice=4d6 Cold| 4d6 cold damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Dragon's Breath Potion (Young),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of cold. The breath does |dice=4d6 Cold| 4d6 cold damage, and each creature in the area must attempt a DC 23 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Acid,Consumable,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of acid. The breath does |dice=6d6 Acid| 6d6 acid damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Acid,Consumable,Evocation,Magical,Potion,,,,,,,,,,10,,,,self,,,"You unleash dragon's breath in a 30-foot line of acid. The breath does |dice=6d6 Acid| 6d6 acid damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Electricity,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of electricity. The breath does |dice=6d6 Electricity| 6d6 electricity damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Electricity,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of electricity. The breath does |dice=6d6 Electricity| 6d6 electricity damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of fire. The breath does |dice=6d6 Fire| 6d6 fire damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Evocation,Magical,Poison,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of poison. The breath does |dice=6d6 Poison| 6d6 poison damage, and each creature in the area must attempt a DC 29 basic Fortitude save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of fire. The breath does |dice=6d6 Fire| 6d6 fire damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of fire. The breath does |dice=6d6 Fire| 6d6 fire damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of cold. The breath does |dice=6d6 Cold| 6d6 cold damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Dragon's Breath Potion (Adult),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of cold. The breath does |dice=6d6 Cold| 6d6 cold damage, and each creature in the area must attempt a DC 29 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Acid,Consumable,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of acid. The breath does |dice=10d6 Acid| 10d6 acid damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Acid,Consumable,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of acid. The breath does |dice=10d6 Acid| 10d6 acid damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Electricity,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of electricity. The breath does |dice=10d6 Electricity| 10d6 electricity damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Electricity,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of electricity. The breath does |dice=10d6 Electricity| 10d6 electricity damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 30-foot line of fire. The breath does |dice=10d6 Fire| 10d6 fire damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Evocation,Magical,Poison,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of poison. The breath does |dice=10d6 Poison| poison damage, and each creature in the area must attempt a DC 37 basic Fortitude save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of fire. The breath does |dice=10d6 Fire| 10d6 fire damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of fire. The breath does |dice=10d6 Fire| 10d6 fire damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of cold. The breath does |dice=10d6 Cold| 10d6 cold damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Dragon's Breath Potion (Wyrm),1A,"After you use the breath weapon, you can't do so again for 1d4 rounds.",Consumable,Fire,Evocation,Magical,Potion,,,,,,,,,,,,,,self,,,"You unleash dragon's breath in a 15-foot cone of cold. The breath does |dice=10d6 Cold| 10d6 cold damage, and each creature in the area must attempt a DC 37 basic Reflex save. After you use the breath weapon, you can't do so again for |dice=1d4| 1d4 rounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Acid, Greater)",Free,,Consumable,Acid,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=2d6 Acid| 2d6 acid damage for every full 10 minutes of duration remaining (DC 25 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Acid, Greater)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Cold, Greater)",Free,,Consumable,Cold,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=2d6 Cold| 2d6 cold damage for every full 10 minutes of duration remaining (DC 25 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Cold, Greater)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Electricity, Greater)",Free,,Consumable,Electricity,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=2d6 Electricity| 2d6 electricity damage for every full 10 minutes of duration remaining (DC 25 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Electricity, Greater)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Fire, Greater)",Free,,Consumable,Fire,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=2d6 Fire| 2d6 fire damage for every full 10 minutes of duration remaining (DC 25 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Fire, Greater)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Acid, Major)",Free,,Consumable,Acid,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=3d6 Acid| 3d6 acid damage for every full 10 minutes of duration remaining (DC 32 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Acid, Major)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Cold, Major)",Free,,Consumable,Cold,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=3d6 Cold| 3d6 cold damage for every full 10 minutes of duration remaining (DC 32 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Cold, Major)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Electricity, Major)",Free,,Consumable,Electricity,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=3d6 Electricity| 3d6 electricity damage for every full 10 minutes of duration remaining (DC 32 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Electricity, Major)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energy Mutagen (Fire, Major)",Free,,Consumable,Fire,Mutagen,Polymorph,,,,,,,,,,,,,,,area,,,"You end the benefits of the Energy Mutagen, unleashing a 30-foot cone of energy that deals |dice=3d6 Fire| 3d6 fire damage for every full 10 minutes of duration remaining (DC 32 basic Reflex save).",,,,,,,,,,,,0,,Energy Mutagen Discharge,"Energy Mutagen (Fire, Major)",caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Slice,2A,,Fighter,,,,,,,"You are wielding two melee weapons, each in a different hand.",,,,,,,,,,,other,,,"You lash out at your foe with both weapons. Make two Strikes, one with each of your two melee weapons, each using your current multiple attack penalty. Both Strikes must have the same target. If the second Strike is made with a weapon that doesn't have the agile trait, it takes a -2 penalty.

If both attacks hit, combine their damage, and then add any other applicable effects from both weapons. You add any precision damage only once, to the attack of your choice. Combine the damage from both Strikes and apply resistances and weaknesses only once. This counts as two attacks when calculating your multiple attack penalty.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
